Wall time,Step,Value,Smoothed_Value
1733554997.4109092,1641,0.6000000238418579,0.32875000301748514
1733555106.4652567,1642,0.6499999761581421,0.3312500028684735
1733555663.8325467,1646,0.699999988079071,0.33400000277906655
1733555991.3958497,1653,0.4000000059604645,0.3347500028088689
1733556065.022256,1655,0.449999988079071,0.33575000274926425
1733556216.6665215,1657,0.550000011920929,0.3370000027492642
1733556236.4451942,1658,0.5,0.3377500027790666
1733556566.217004,1660,0.449999988079071,0.33850000265985725
1733556796.021064,1663,0.449999988079071,0.33925000254064797
1733557016.7879336,1665,0.449999988079071,0.3400000024214387
1733557189.969193,1667,0.5,0.34150000240653755
1733557613.613312,1670,0.6499999761581421,0.34350000228732824
1733558180.95215,1672,0.699999988079071,0.34550000216811894
1733558211.0864024,1673,0.6499999761581421,0.3475000020489097
1733558535.295855,1676,0.6499999761581421,0.3490000019595027
1733559022.4743557,1677,0.6499999761581421,0.3505000018700957
1733559098.2633011,1678,0.699999988079071,0.3525000017508864
1733559307.1911273,1682,0.800000011920929,0.3550000017508864
1733559518.9278574,1684,0.75,0.35700000178068875
1733559613.3161087,1685,0.699999988079071,0.35875000175088645
1733560148.912833,1691,0.6499999761581421,0.3605000015720725
1733560518.284244,1693,0.75,0.3630000015720725
1733561269.8555677,1701,0.550000011920929,0.36500000160187485
1733561291.782983,1702,0.5,0.36650000158697366
1733561365.0832746,1703,0.5,0.3680000015720725
1733561879.044867,1707,0.5,0.36950000155717133
1733561912.443373,1709,0.5,0.3702500015869737
1733562325.4673312,1715,0.3499999940395355,0.369750001616776
1733562511.5680914,1717,0.3499999940395355,0.36900000158697366
1733562588.145925,1719,0.4000000059604645,0.36825000155717136
1733562691.5031056,1720,0.4000000059604645,0.36825000155717136
1733562727.2319958,1722,0.5,0.36975000154227017
1733562912.974991,1723,0.550000011920929,0.37200000159442426
1733563347.5592873,1733,0.6499999761581421,0.3747500014677644
1733563360.952196,1734,0.6499999761581421,0.3770000013336539
1733563534.0024347,1736,0.550000011920929,0.3787500013783574
1733563536.374815,1737,0.550000011920929,0.3805000014230609
1733563658.565138,1738,0.6000000238418579,0.3822500015422702
1733563837.1040506,1740,0.550000011920929,0.3835000015422702
1733564073.7432213,1742,0.550000011920929,0.3850000016018748
1733564168.479301,1743,0.550000011920929,0.3867500016465783
1733564209.1806304,1745,0.550000011920929,0.38800000164657833
1733564573.41775,1747,0.6000000238418579,0.3897500017657876
1733564612.7828257,1748,0.550000011920929,0.39125000182539227
1733564639.9367285,1749,0.6000000238418579,0.39300000194460155
1733564697.5476537,1750,0.550000011920929,0.3942500019446015
1733565004.883779,1752,0.6000000238418579,0.39550000209361313
1733565225.919287,1753,0.6000000238418579,0.3965000021830201
1733565556.635121,1757,0.699999988079071,0.3987500021234155
1733565804.5965202,1760,0.800000011920929,0.4015000021830201
1733566087.353057,1761,0.800000011920929,0.4047500022128224
1733566363.8940873,1766,0.75,0.40750000219792126
1733566466.2154644,1770,0.699999988079071,0.4102500021085143
1733566479.6696718,1771,0.6499999761581421,0.41250000197440384
1733566797.8822582,1774,0.6000000238418579,0.4140000020340085
1733566834.8761144,1775,0.550000011920929,0.41550000209361315
1733567140.6836052,1777,0.5,0.41625000212341545
1733567161.7051525,1778,0.449999988079071,0.41700000200420617
1733567450.4106183,1781,0.3499999940395355,0.4177500019595027
1733567650.766791,1783,0.3499999940395355,0.41825000192970035
1733567957.5902078,1785,0.3000000119209289,0.4187500019744039
1733568400.638402,1787,0.3499999940395355,0.4195000019297004
1733568504.3958075,1790,0.5,0.42075000192970036
1733568784.3492815,1792,0.5,0.4222500019147992
1733569087.1936288,1794,0.449999988079071,0.42325000185519457
1733569154.7237206,1795,0.5,0.42450000185519454
1733569597.5708892,1797,0.550000011920929,0.4260000019147992
1733569599.573336,1798,0.550000011920929,0.4277500019595027
1733569709.565933,1800,0.6499999761581421,0.4300000018253922
1733570351.3143685,1803,0.550000011920929,0.4317500018700957
1733570396.876462,1805,0.550000011920929,0.4335000019147992
1733570543.1769383,1809,0.449999988079071,0.43450000185519455
1733570722.6748805,1812,0.449999988079071,0.4355000017955899
1733570811.6135645,1813,0.5,0.4372500017657876
1733570822.0949645,1814,0.550000011920929,0.43875000182539226
1733570858.153688,1815,0.5,0.44000000182539223
1733571111.3249266,1816,0.449999988079071,0.4410000017657876
1733571228.4696212,1818,0.4000000059604645,0.44175000179558993
1733571233.663542,1819,0.4000000059604645,0.44275000181049107
1733571312.3097155,1820,0.3499999940395355,0.44325000178068874
1733571552.3642757,1823,0.4000000059604645,0.4435000018402934
1733571882.0813084,1827,0.449999988079071,0.4440000018104911
1733572027.1598864,1831,0.3499999940395355,0.4437500017508864
1733572082.544489,1832,0.3499999940395355,0.4437500017508864
1733572466.119243,1833,0.3499999940395355,0.4437500017508864
1733572605.1356845,1835,0.3000000119209289,0.4437500017508864
1733572626.2950149,1836,0.3000000119209289,0.4437500017508864
1733573053.7925663,1842,0.4000000059604645,0.44450000178068877
1733573090.4984572,1843,0.449999988079071,0.4452500016614795
1733573160.767058,1844,0.4000000059604645,0.4460000016912818
1733573279.693473,1845,0.3499999940395355,0.44625000160187483
1733573345.671777,1846,0.3499999940395355,0.4465000015124679
1733573507.3784184,1847,0.3499999940395355,0.4465000015124679
1733573725.6909392,1848,0.4000000059604645,0.4465000015124679
